test_id,motor,profile,speed_code,speed_value,voltage,direction,selection_start,selection_end,force_time_offset,duration_ms,mean_power_mw,peak_power_mw,mean_current_ma,peak_current_ma,energy_mj,max_thrust_n,mean_thrust_n
M2-BD-OFF-N,M2,BD,OFF,0,0,N,0.001,5.804228062655061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.57113,2.376791224489796
M2-BD-OFF-R,M2,BD,OFF,0,0,R,0.001,7.07198475143338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.63281,4.287390500000001
M2-CL-4,M2,Constant,L,500,4,N,2.152623555709673,12.6912265773022,2.1,10538.603021592526,404.7039489746094,986.5040283203125,-2.2460250854492188,253.4009552001953,4265.012786473656,3.83419,2.1631984761904763
M2-CL-4-R,M2,Constant,L,500,4,R,1.5626778330788662,12.046200129807936,1.5,10483.52229672907,399.9563903808594,981.9774169921875,0.8992971777915955,253.69021606445312,4192.955145771588,3.83419,2.1631984761904763
M2-CL-5,M2,Constant,L,500,5,N,2.1033025090968143,12.606929394823572,1.9,10503.626885726759,601.8259887695312,1511.516357421875,-3.003203868865967,317.68048095703125,6321.3512372515925,4.76058,2.497501047619048
M2-CL-5-R,M2,Constant,L,500,5,R,2.63430552624341,13.036288345498145,2.3000000000000003,10401.982819254734,596.6249389648438,1507.5025634765625,-0.3826870024204254,314.91937255859375,6206.080873911105,5.72254,2.808079903846154
M2-CL-6,M2,Constant,L,500,6,N,1.5001982117280357,11.942623182258027,1.4,10442.424970529992,866.7147216796875,2293.539306640625,-2.8552842140197754,363.8240661621094,9050.607821350597,6.51335,3.11338798076923
M2-CL-6-R,M2,Constant,L,500,6,R,2.0219589793733004,12.451267576094924,0.0,10429.308596721625,861.6637573242188,2253.3916015625,-1.8225607872009277,363.0059509277344,8986.558274864656,,
M2-CVH-4,M2,Constant,VH,10000,4,N,2.3165755743774072,3.1353369909287627,2.0,818.7614165513555,263.75823974609375,1095.8314208984375,16.65340232849121,256.08294677734375,215.95457117515846,3.93962,2.0861300000000003
M2-CVH-4-R,M2,Constant,VH,10000,4,R,4.254709492192868,5.049114916337319,3.9,794.4054241444513,291.2294921875,1053.3076171875,23.359676361083984,251.28329467773438,231.35462356135005,3.93962,2.0861300000000003
M2-CVH-5,M2,Constant,VH,10000,5,N,1.8249172012554886,2.62462918957681,1.5,799.7119883213213,423.5462646484375,1725.849853515625,15.915135383605957,324.034912109375,338.71411358257575,5.73836,2.7575475
M2-CVH-5-R,M2,Constant,VH,10000,5,R,1.7138402184141641,2.485293989922855,1.3,771.4537715086911,430.48907470703125,1688.192138671875,17.08668327331543,333.8151550292969,332.1004283869448,5.95306,3.3655514285714285
M2-CVH-6,M2,Constant,VH,10000,6,N,2.1414250252527545,2.9278666273854483,1.8,786.4416021326939,572.3265991210938,2458.833740234375,5.703868865966797,387.2237243652344,450.1006197855557,6.06312,3.6419775
M2-CVH-6-R,M2,Constant,VH,10000,6,R,2.521759374539111,3.3268207199588877,2.1999999999999997,805.0613454197766,568.0794067382812,2412.94140625,12.976104736328125,383.4075927734375,457.34101068399536,6.06312,3.6419775
